222.243.18.34|222.243.18.34|3740471842|3740471842|亚洲|中国|湖南|怀化|靖州|电信|431229|China|CN|109.69821|26.57651
222.243.18.35|222.243.18.43|3740471843|3740471851|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.44|222.243.18.44|3740471852|3740471852|亚洲|中国|湖南|怀化|靖州|电信|431229|China|CN|109.69821|26.57651
222.243.18.45|222.243.18.135|3740471853|3740471943|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.136|222.243.18.136|3740471944|3740471944|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.137|222.243.18.152|3740471945|3740471960|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.153|222.243.18.153|3740471961|3740471961|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.154|222.243.18.154|3740471962|3740471962|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.155|222.243.18.156|3740471963|3740471964|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.157|222.243.18.157|3740471965|3740471965|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.158|222.243.18.159|3740471966|3740471967|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.160|222.243.18.162|3740471968|3740471970|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.163|222.243.18.164|3740471971|3740471972|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.165|222.243.18.168|3740471973|3740471976|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.169|222.243.18.171|3740471977|3740471979|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.172|222.243.18.175|3740471980|3740471983|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.18.176|222.243.18.177|3740471984|3740471985|亚洲|中国|湖南|怀化|会同|电信|431225|China|CN|109.73568|26.88716
222.243.18.178|222.243.19.6|3740471986|3740472070|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.7|222.243.19.7|3740472071|3740472071|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.8|222.243.19.11|3740472072|3740472075|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.12|222.243.19.12|3740472076|3740472076|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.13|222.243.19.16|3740472077|3740472080|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.17|222.243.19.17|3740472081|3740472081|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.18|222.243.19.23|3740472082|3740472087|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.24|222.243.19.24|3740472088|3740472088|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.25|222.243.19.25|3740472089|3740472089|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.26|222.243.19.26|3740472090|3740472090|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.27|222.243.19.29|3740472091|3740472093|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.30|222.243.19.31|3740472094|3740472095|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.32|222.243.19.35|3740472096|3740472099|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.36|222.243.19.36|3740472100|3740472100|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.37|222.243.19.39|3740472101|3740472103|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.40|222.243.19.40|3740472104|3740472104|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.41|222.243.19.43|3740472105|3740472107|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.44|222.243.19.44|3740472108|3740472108|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.45|222.243.19.47|3740472109|3740472111|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.48|222.243.19.48|3740472112|3740472112|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.49|222.243.19.55|3740472113|3740472119|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.19.56|222.243.19.56|3740472120|3740472120|亚洲|中国|湖南|怀化|芷江|电信|431228|China|CN|109.6849|27.44297
222.243.19.57|222.243.20.12|3740472121|3740472332|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
222.243.20.13|222.243.20.15|3740472333|3740472335|亚洲|中国|湖南|怀化|鹤城|电信|431202|China|CN|109.96509|27.54942
222.243.20.16|222.243.63.255|3740472336|3740483583|亚洲|中国|湖南|怀化||电信|431200|China|CN|109.97824|27.550082
